position	mass	molecular_formula	smiles	selfies	inchi	inchikey	name
pos_C3	123.0320284	C6H5NO2	O=C(O)c1cccnc1	[O][=C][Branch1][C][O][C][=C][C][=C][N][=C][Ring1][=Branch1]	InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)	PVNIIMVLHYAWGP-UHFFFAOYSA-N	Nicotinic Acid
pos_D3	392.29265976	C24H40O4	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	[C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][C][Branch1][C][O][C][C][C][C][Branch1][C][O][C][C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][=N][C][C][C][Ring2][Ring1][Ring2][Ring1][P][C]	InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)	RUDATBOHQWOJDD-UHFFFAOYSA-N	Alloursodeoxycholic acid
pos_E3	122.048012812	C6H6N2O	NC(=O)c1cccnc1	[N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1]	InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)	DFPAKSUCGFBDDF-UHFFFAOYSA-N	Nicotinamide
pos_F3	1354.567400126	C63H88CoN14O14P	C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O.N#[C][Co+2]	[C][/C][=C][/N][=C][Branch2][#Branch2][P][/C][=C][\N][=C][Branch2][=Branch2][Ring1][/C][Branch1][C][C][=C][\N-1][C][Branch1][C][C][Branch2][=Branch1][#C][C][N][=C][Ring1][P][C][Branch1][C][C][Branch2][Branch1][=Branch2][C][C][C][=Branch1][C][=O][N][C][C][Branch1][C][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C][Branch1][Ring1][C][O][O][C][Branch2][Ring1][Ring2][N][C][=N][C][=C][C][Branch1][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][Ring1][O][C][Ring2][Ring1][C][O][C][Ring2][Ring2][=Branch1][C][C][Branch1][C][N][=O][C][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][Ring2][Branch1][Branch1][C][C][C][Branch1][C][N][=O][C][Branch1][C][C][Branch1][#Branch1][C][C][Branch1][C][N][=O][C][Ring2][=Branch1][=Branch1][C][C][C][Branch1][C][N][=O][C][Branch1][C][C][Branch1][C][C][C][Ring2][#Branch1][Ring1][C][C][C][Branch1][C][N][=O].[N][#C][Co+2]	InChI=1S/C62H90N13O14P.CN.Co/c1-29-20-39-40(21-30(29)2)75(28-70-39)57-52(84)53(41(27-76)87-57)89-90(85,86)88-31(3)26-69-49(83)18-19-59(8)37(22-46(66)80)56-62(11)61(10,25-48(68)82)36(14-17-45(65)79)51(74-62)33(5)55-60(9,24-47(67)81)34(12-15-43(63)77)38(71-55)23-42-58(6,7)35(13-16-44(64)78)50(72-42)32(4)54(59)73-56;1-2;/h20-21,23,28,31,34-37,41,52-53,56-57,76,84H,12-19,22,24-27H2,1-11H3,(H15,63,64,65,66,67,68,69,71,72,73,74,77,78,79,80,81,82,83,85,86);;/q;;+2/p-2	RMRCNWBMXRMIRW-UHFFFAOYSA-L	cobalt(3+);[5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl phosphate;cyanide
pos_G3	316.240230264	C21H32O2	CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	[C][C][=Branch1][C][=O][C][C][C][C][C][C][C][=C][C][C][Branch1][C][O][C][C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][N][C][C][C][Ring2][Ring1][Ring1][Ring1][S][C]	InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19,23H,5-12H2,1-3H3	ORNBQBCIOKFOEO-UHFFFAOYSA-N	ORNBQBCIOKFOEO-UHFFFAOYSA-N
pos_H3	172.052429496	C11H8O2	CC1=CC(=O)c2ccccc2C1=O	[C][C][=C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O]	InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3	MJVAVZPDRWSRRC-UHFFFAOYSA-N	MJVAVZPDRWSRRC-UHFFFAOYSA-N
pos_A4	244.069536104	C9H12N2O6	O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1	[O][=C][C][=C][N][Branch1][S][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O][C][=Branch1][C][=O][NH1][Ring1][S]	InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)	DRTQHJPVMGBUCF-UHFFFAOYSA-N	DRTQHJPVMGBUCF-UHFFFAOYSA-N
pos_B4	243.085520516	C9H13N3O5	Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1	[N][C][=N][C][=Branch1][C][=O][N][Branch1][S][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O][C][=C][Ring1][S]	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)	UHDGCWIWMRVCDJ-UHFFFAOYSA-N	UHDGCWIWMRVCDJ-UHFFFAOYSA-N
pos_C4	180.063388104	C6H12O6	O=CC(O)C(O)C(O)C(O)CO	[O][=C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O]	InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2	GZCGUPFRVQAUEE-UHFFFAOYSA-N	GZCGUPFRVQAUEE-UHFFFAOYSA-N
pos_D4	150.05282342	C5H10O5	O=CC(O)C(O)C(O)CO	[O][=C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O]	InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2	PYMYPHUHKUWMLA-UHFFFAOYSA-N	PYMYPHUHKUWMLA-UHFFFAOYSA-N
pos_E4	203.094628656	C12H13NO2	O=C(O)CCCc1c[nH]c2ccccc12	[O][=C][Branch1][C][O][C][C][C][C][=C][NH1][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1]	InChI=1S/C12H13NO2/c14-12(15)7-3-4-9-8-13-11-6-2-1-5-10(9)11/h1-2,5-6,8,13H,3-4,7H2,(H,14,15)	JTEDVYBZBROSJT-UHFFFAOYSA-N	JTEDVYBZBROSJT-UHFFFAOYSA-N
pos_F4	392.29265976	C24H40O4	CC(CCC(=O)O)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C	[C][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][C][C][Branch1][C][O][C][C][C][Branch1][C][O][C][C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][=N][C][C][C][Ring2][Ring1][Ring2][Ring1][P][C]	InChI=1S/C24H40O4/c1-14(4-7-22(27)28)17-5-6-18-16-13-21(26)20-12-15(25)8-10-24(20,3)19(16)9-11-23(17,18)2/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)	DGABKXLVXPYZII-UHFFFAOYSA-N	DGABKXLVXPYZII-UHFFFAOYSA-N
pos_G4	156.017106608	C5H4N2O4	O=C(O)c1cc(=O)[nH]c(=O)[nH]1	[O][=C][Branch1][C][O][C][=C][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2]	InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)	PXQPEWDEAKTCGB-UHFFFAOYSA-N	PXQPEWDEAKTCGB-UHFFFAOYSA-N
pos_H4	167.094628656	C9H13NO2	CNCC(O)c1ccc(O)cc1	[C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1]	InChI=1S/C9H13NO2/c1-10-6-9(12)7-2-4-8(11)5-3-7/h2-5,9-12H,6H2,1H3	YRCWQPVGYLYSOX-UHFFFAOYSA-N	Synephrine
pos_A5	220.084792244	C11H12N2O3	NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O	[N][C][Branch2][Ring1][C][C][C][=C][NH1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch2][Ring1][#Branch1][C][=Branch1][C][=O][O]	InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)	LDCYZAJDBXYCGN-UHFFFAOYSA-N	(+-)-5-Hydroxytryptophan
pos_B5	161.10519334	C7H15NO3	C[N+](C)(C)CC(O)CC(=O)[O-]	[C][N+1][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][O][C][C][=Branch1][C][=O][O-1]	InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3	PHIQHXFUZVPYII-UHFFFAOYSA-N	DL-Carnitine
pos_C5	182.079038168	C6H14O6	OCC(O)C(O)C(O)C(O)CO	[O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O]	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2	FBPFZTCFMRRESA-UHFFFAOYSA-N	FBPFZTCFMRRESA-UHFFFAOYSA-N
pos_D5	283.091668516	C10H13N5O5	Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1	[N][C][=N][C][=C][Branch2][Ring1][Branch1][N][=C][N][Ring1][Branch1][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O][C][=Branch1][C][=O][NH1][Ring2][Ring1][Ring1]	InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)	NYHBQMYGNKIUIF-UHFFFAOYSA-N	2-amino-9-(3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl)-3H-purin-6-one
pos_E5	268.080769484	C10H12N4O5	O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O	[O][=C][NH1][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][Branch2][O]	InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)	UGQMRVRMYYASKQ-UHFFFAOYSA-N	beta-Inosine
pos_F5	288.172544628	C18H24O3	CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O	[C][C][C][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C][Ring1][O][C][Ring1][#C][C][C][Branch1][C][O][C][Ring2][Ring1][Ring1][O]	InChI=1S/C18H24O3/c1-18-7-6-13-12-5-3-11(19)8-10(12)2-4-14(13)15(18)9-16(20)17(18)21/h3,5,8,13-17,19-21H,2,4,6-7,9H2,1H3	PROQIPRRNZUXQM-UHFFFAOYSA-N	PROQIPRRNZUXQM-UHFFFAOYSA-N
pos_G5	183.089543276	C9H13NO3	CNCC(O)c1ccc(O)c(O)c1	[C][N][C][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2]	InChI=1S/C9H13NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,9-13H,5H2,1H3	UCTWMZQNUQWSLP-UHFFFAOYSA-N	UCTWMZQNUQWSLP-UHFFFAOYSA-N
pos_H5	153.078978592	C8H11NO2	NCCc1ccc(O)c(O)c1	[N][C][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2]	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	VYFYYTLLBUKUHU-UHFFFAOYSA-N	Dopamine
pos_A6	402.20423868	C23H30O6	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C	[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][Branch1][C][O][C][C][C][C][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][N][C][=Branch1][C][=O][C][C][Ring1][P][Ring2][Ring1][Branch1][C]	InChI=1S/C23H30O6/c1-13(24)29-12-19(27)23(28)9-7-17-16-5-4-14-10-15(25)6-8-21(14,2)20(16)18(26)11-22(17,23)3/h10,16-17,20,28H,4-9,11-12H2,1-3H3	ITRJWOMZKQRYTA-UHFFFAOYSA-N	ITRJWOMZKQRYTA-UHFFFAOYSA-N
pos_B6	211.120843404	C11H17NO3	CC(C)NCC(O)c1ccc(O)c(O)c1	[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2]	InChI=1S/C11H17NO3/c1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8/h3-5,7,11-15H,6H2,1-2H3	JWZZKOKVBUJMES-UHFFFAOYSA-N	Isoproterenol
pos_C6	386.245709568	C24H34O4	CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C	[C][C][=Branch1][C][=O][O][C][Branch1][=Branch1][C][Branch1][C][C][=O][C][C][C][C][C][C][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][#Branch1][Branch1][C][C][C][Ring1][=N][C][C][C][Ring1][P][Ring2][Ring1][#Branch1][C]	InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3	PSGAAPLEWMOORI-UHFFFAOYSA-N	(17-acetyl-6,10,13-trimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl) acetate
pos_D6	167.094628656	C9H13NO2	CNCC(O)c1cccc(O)c1	[C][N][C][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1]	InChI=1S/C9H13NO2/c1-10-6-9(12)7-3-2-4-8(11)5-7/h2-5,9-12H,6H2,1H3	SONNWYBIRXJNDC-UHFFFAOYSA-N	SONNWYBIRXJNDC-UHFFFAOYSA-N
pos_E6	776.686699832	C15H11I4NO4	NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O	[N][C][Branch2][Ring2][=Branch1][C][C][=C][C][Branch1][C][I][=C][Branch2][Ring1][Ring1][O][C][=C][C][Branch1][C][I][=C][Branch1][C][O][C][Branch1][C][I][=C][Ring1][=Branch2][C][Branch1][C][I][=C][Ring2][Ring1][C][C][=Branch1][C][=O][O]	InChI=1S/C15H11I4NO4/c16-8-4-7(5-9(17)13(8)21)24-14-10(18)1-6(2-11(14)19)3-12(20)15(22)23/h1-2,4-5,12,21H,3,20H2,(H,22,23)	XUIIKFGFIJCVMT-UHFFFAOYSA-N	(+-)-Thyroxine
pos_F6	288.208930136	C19H28O2	CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O	[C][C][C][C][C][C][Branch1][P][C][C][=C][C][C][Branch1][C][O][C][C][C][Ring1][#Branch1][Ring1][O][C][C][Ring1][S][C][C][C][Ring2][Ring1][Ring1][=O]	InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3	FMGSKLZLMKYGDP-UHFFFAOYSA-N	FMGSKLZLMKYGDP-UHFFFAOYSA-N
pos_G6	152.068473484	C5H12O5	OCC(O)C(O)C(O)CO	[O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O]	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2	HEBKCHPVOIAQTA-UHFFFAOYSA-N	HEBKCHPVOIAQTA-UHFFFAOYSA-N
pos_H6	149.070145224	C6H7N5	Cn1cnc(N)c2ncnc1-2	[C][N][C][=N][C][Branch1][C][N][=C][N][=C][N][=C][Ring1][Branch1][Ring1][#Branch2]	InChI=1S/C6H7N5/c1-11-3-10-5(7)4-6(11)9-2-8-4/h2-3H,7H2,1H3	FSASIHFSFGAIJM-UHFFFAOYSA-N	ZPBYVFQJHWLTFB-UHFFFAOYSA-N
pos_A7	290.2245802	C19H30O2	CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O	[C][C][C][C][C][C][Branch1][P][C][C][C][C][C][Branch1][C][O][C][C][C][Ring1][#Branch1][Ring1][O][C][C][Ring1][S][C][C][C][Ring2][Ring1][Ring1][=O]	InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3	QGXBDMJGAMFCBF-UHFFFAOYSA-N	QGXBDMJGAMFCBF-UHFFFAOYSA-N
pos_B7	194.06914218	C9H10N2O3	Nc1ccc(C(=O)NCC(=O)O)cc1	[N][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][C][=C][Ring1][=N]	InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)	HSMNQINEKMPTIC-UHFFFAOYSA-N	HSMNQINEKMPTIC-UHFFFAOYSA-N
pos_C7	352.224974124	C20H32O5	CCCCCC(O)/C=C/C1C(O)CC(=O)C1C/C=C\CCCC(=O)O	[C][C][C][C][C][C][Branch1][C][O][/C][=C][/C][C][Branch1][C][O][C][C][=Branch1][C][=O][C][Ring1][#Branch1][C][/C][=C][\C][C][C][C][=Branch1][C][=O][O]	InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/b7-4-,13-12+	XEYBRNLFEZDVAW-ZQDYKODVSA-N	XEYBRNLFEZDVAW-ZQDYKODVSA-N
pos_D7	169.073893212	C8H11NO3	Cc1ncc(CO)c(CO)c1O	[C][C][=C][Branch1][C][O][C][Branch1][Ring1][C][O][=C][Branch1][Ring1][C][O][C][=N][Ring1][O]	InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3	LXNHXLLTXMVWPM-UHFFFAOYSA-N	LXNHXLLTXMVWPM-UHFFFAOYSA-N
pos_E7	176.032087976	C6H8O6	O=C1OC(C(O)CO)C(O)=C1O	[O][=C][O][C][Branch1][#Branch1][C][Branch1][C][O][C][O][C][Branch1][C][O][=C][Ring1][#Branch2][O]	InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2	CIWBSHSKHKDKBQ-UHFFFAOYSA-N	CIWBSHSKHKDKBQ-UHFFFAOYSA-N
pos_F7	244.088163372	C10H16N2O3S	O=C(O)CCCCC1SCC2NC(=O)NC21	[O][=C][Branch1][C][O][C][C][C][C][C][S][C][C][N][C][=Branch1][C][=O][N][C][Ring1][=Branch1][Ring1][=Branch2]	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)	YBJHBAHKTGYVGT-UHFFFAOYSA-N	5-(2-oxo-hexahydro-1H-thieno(3,4-d)imidazolidin-4-yl)pentanoic acid
pos_G7	167.02185764	C7H5NO4	O=C(O)c1cccnc1C(=O)O	[O][=C][Branch1][C][O][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][O]	InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-8-5(4)7(11)12/h1-3H,(H,9,10)(H,11,12)	GJAWHXHKYYXBSV-UHFFFAOYSA-N	Quinolinic Acid
